org_id,survey_date,nps_score,comment
org_xaji0y6d,2025-08-22,11.0,Complex billing
org_hv3a3zmf,2025-06-13,6.0,Complex billing
org_hv3a3zmf,2025-06-18,15.0,Love genAI features
org_8mdd4v30,2025-05-24,19.0,Missing features
org_8mdd4v30,2025-08-26,47.0,Love genAI features
org_t9nt3w5u,2025-08-16,,Missing features
org_zbikcidk,2025-06-11,,Complex billing
org_41ibljh7,2025-08-11,,Missing features
org_5lxo6qji,2025-06-07,,
org_ujv6oh9s,2025-06-01,9.0,Stable but slow
org_ujv6oh9s,2025-07-27,38.0,Love genAI features
org_dbdw2pcn,2025-07-16,23.0,Missing features
org_9t84azyt,2025-06-09,50.0,Love genAI features
org_9t84azyt,2025-08-14,0.0,Stable but slow
org_jxepq85j,2025-06-25,21.0,Great support
org_53lc58dr,2025-07-01,,Great support
org_53lc58dr,2025-07-04,12.0,Love genAI features
org_c11ertj5,2025-06-11,,Missing features
org_pseimvih,2025-07-05,20.0,Too expensive
org_pseimvih,2025-08-02,68.0,
org_cwi64ciy,2025-07-28,36.0,
org_he7ur23g,2025-07-03,22.0,
org_he7ur23g,2025-06-24,21.0,Missing features
org_dppq0y9d,2025-08-06,21.0,Too expensive
org_dppq0y9d,2025-08-22,49.0,
org_om5igqpk,2025-08-07,-5.0,Stable but slow
org_i7p5tb94,2025-07-22,-16.0,Complex billing
org_i7p5tb94,2025-06-18,17.0,Stable but slow
org_n9j2qp89,2025-06-29,,Too expensive
org_n9j2qp89,2025-06-09,16.0,Missing features
org_uzfk8ut0,2025-07-05,,Stable but slow
org_uzfk8ut0,2025-07-19,34.0,Missing features
org_vyie6ivw,2025-06-23,21.0,
org_pvs7hzio,2025-07-30,29.0,Love genAI features
org_chj755nf,2025-08-15,21.0,Missing features
org_chj755nf,2025-07-05,,Great support
org_4zw9xa3k,2025-08-12,48.0,Love genAI features
org_zhwjr64d,2025-05-28,,Complex billing
org_zhwjr64d,2025-08-08,17.0,Great support
org_pja1wj0t,2025-06-16,15.0,Missing features
org_pac56t4u,2025-05-28,48.0,Too expensive
org_pac56t4u,2025-07-25,48.0,Too expensive
org_id25owf7,2025-07-31,46.0,Too expensive
org_id25owf7,2025-06-29,53.0,Complex billing
org_5935a0l7,2025-06-20,20.0,Too expensive
org_5935a0l7,2025-08-21,,Great support
org_253j2d54,2025-08-05,,Stable but slow
org_253j2d54,2025-06-10,35.0,Complex billing
org_i3qk2iag,2025-08-27,26.0,Too expensive
org_l58kxo9t,2025-08-30,29.0,Missing features
org_l58kxo9t,2025-08-31,31.0,
org_7e8g8jdp,2025-06-02,9.0,Complex billing
org_a7tz0ync,2025-05-29,,Love genAI features
org_xll4zklo,2025-06-01,28.0,Stable but slow
org_okep7y6w,2025-06-01,23.0,Complex billing
org_ktakpuxq,2025-08-10,34.0,Complex billing
org_ktakpuxq,2025-07-01,17.0,Great support
org_wm31yiha,2025-07-21,18.0,Too expensive
org_y9v86wzs,2025-06-23,22.0,Missing features
org_y9v86wzs,2025-08-22,43.0,Love genAI features
org_3t60rjiw,2025-07-30,25.0,Love genAI features
org_3t60rjiw,2025-08-31,34.0,Love genAI features
org_1swjckjl,2025-06-03,13.0,Complex billing
org_1swjckjl,2025-06-19,43.0,Too expensive
org_teiyzcot,2025-06-21,16.0,Love genAI features
org_ohp6vz41,2025-07-05,33.0,Missing features
org_nam148p0,2025-06-08,,Missing features
org_ofqewaou,2025-06-29,51.0,Stable but slow
org_ofqewaou,2025-07-23,,Stable but slow
org_axeqbnhl,2025-07-16,43.0,Missing features
org_9mx2x18h,2025-06-02,19.0,Too expensive
org_9mx2x18h,2025-08-08,19.0,Complex billing
org_afeyuhz1,2025-05-24,,Great support
org_afeyuhz1,2025-08-11,5.0,Stable but slow
org_gv0e38da,2025-06-27,42.0,Missing features
org_gv0e38da,2025-05-31,-6.0,Love genAI features
org_ly8ozcyw,2025-08-11,27.0,Complex billing
org_pnsm43d8,2025-07-30,43.0,Stable but slow
org_pnsm43d8,2025-06-25,,Missing features
org_w3zp08j3,2025-08-04,28.0,Too expensive
org_w3zp08j3,2025-08-21,36.0,
org_trp0j43d,2025-07-28,0.0,Love genAI features
org_trp0j43d,2025-07-30,,Missing features
org_5iqvnb4g,2025-05-31,29.0,Great support
org_h2m5zja8,2025-06-23,25.0,Missing features
org_h2m5zja8,2025-06-25,49.0,Great support
org_dzr1yxr2,2025-06-29,11.0,Missing features
org_dzr1yxr2,2025-07-31,39.0,
org_dhylurtp,2025-07-02,9.0,Stable but slow
org_dhylurtp,2025-05-26,34.0,
org_0lzjjege,2025-08-08,,Stable but slow
org_t1ghr09s,2025-07-02,28.0,Great support
